Make,Model,Type,Year-of-manufacture,Mileage,Engine-Type,Power,Cubic-capacity,Cylinders,Cooling,Gears,Transmission,Curb-weight,Exterior-color,Price
Harley-Davidson,FXDWG Dyna Wide Glide,Chopper,1995,"10,000 km",Twin | 4 stroke | OHV,40/55,1337,2,Air,5,Belt,Not provided,Red,"10,743"
Norton,Commando 961 Cafe Racer,Cafe Racer,2011,1 mls,Twin | 4 stroke | OHV,59/80,961,2,Air,5,Chain,0.204,Black,"17,155"
Norton,Dominator SS,Cafe Racer,2018,"2,500 mls",Twin | 4 stroke | OHV,59/80,961,2,Oil-air,5,Chain,0.188,Black,"11,450"
Ducati,916 SPS,Sports Bike,1997,950 mls,V | 4-Takt | DOHC,99/134,996,2,water,6,Chain,0.21,Red,"19,996"
Ducati,1098 R,Racing Motorcycle,2008,"9,500 mls",V | 4-Takt | DOHC,132/180,1198,2,water,6,Chain,0.19,Red,"15,950"
Ducati,1199 R Panigale,Sports Bike,2013,"3,032 mls",V | 4-Takt | DOHC,143/195,1198,2,water,6,Chain,0.164,Red,"18,999"
Ducati,999R,Sports Bike,2005,500 mls,V | 4-Takt | DOHC,110/150,999,2,water,6,Chain,0.205,Red,"29,999"
Ducati,998,Sports Bike,2004,"7,466 mls",V | 4-Takt,90/123,998,2,water,6,Chain,0.198,Red,"20,000"
Ducati,Sport 1000 S,Racing Motorcycle,2009,"1,450 mls",Twin | 4 stroke | DOHC,68/92,992,2,Air,6,Chain,0.186,Red,"15,999"
Ducati,Panigale V4 RS,Racing Motorcycle,2018,1 mls,V | 4-Takt | DOHC,147/200,998,4,water,6,Chain,Not provided,Black,"36,995"
KTM,990 Adventure,Enduro/Scrambler,2010,"12,000 mls",V | 4-Takt,85/116,999,2,Air,6,Chain,0.214,Black,"7,999"
MV Agusta,Brutale 800 RR,Naked Bike,2020,1 mls,Twin | 4 stroke | DOHC,103/140,798,4,Oil-air,6,Chain,Not provided,Black,"10,999"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,1999,"13,700 mls",Straight | 4-stroke | DOHC,93/126,750,4,water,6,Chain,0.2,Silver,"9,500"
